,CNTRYID,CNT,CNTSCHID,CYC,NatCen,Region,STRATUM,SUBNATIO,OECD,ADMINMODE,LANGTEST,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC161Q01SA,SC161Q02SA,SC161Q03SA,SC161Q04SA,SC161Q05SA,SC162Q01SA,SC155Q01HA,SC155Q02HA,SC155Q03HA,SC155Q04HA,SC155Q05HA,SC155Q06HA,SC155Q07HA,SC155Q08HA,SC155Q09HA,SC155Q10HA,SC155Q11HA,SC156Q01HA,SC156Q02HA,SC156Q03HA,SC156Q04HA,SC156Q05HA,SC156Q06HA,SC156Q07HA,SC156Q08HA,SC011Q01TA,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC042Q01TA,SC042Q02TA,SC154Q01HA,SC154Q02WA,SC154Q03WA,SC154Q04WA,SC154Q05WA,SC154Q06WA,SC154Q07WA,SC154Q08WA,SC154Q09HA,SC154Q10WA,SC154Q11HA,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC165Q01HA,SC165Q02HA,SC165Q03HA,SC165Q04HA,SC165Q05HA,SC165Q06HA,SC165Q07HA,SC165Q08HA,SC165Q09HA,SC165Q10HA,SC166Q02HA,SC166Q03HA,SC166Q05HA,SC166Q06HA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q05HA,SC167Q06HA,SC158Q01HA,SC158Q02HA,SC158Q04HA,SC158Q07HA,SC158Q08HA,SC158Q09HA,SC158Q12HA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q11HA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC002Q01TA,SC002Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC025Q01NA,SC159Q01HA,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC150Q01IA,SC150Q02IA,SC150Q03IA,SC150Q04IA,SC150Q05IA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC152Q01HA,SC160Q01WA,SC052Q01NA,SC052Q02NA,SC052Q03HA,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT,VER_DAT,BOOKID
8846,372.0,IRL,37200001.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,5.0,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,458.0,449.0,4.0,20.0,1.0,,72.0,72.0,24.0,2.0,58.0,100.0,90.0,7.0,,,,,,,1.0,1.0,100.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,372001,2.0,2.0,2.0,2.0,2.0,1.0,10.0,16.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,PRIVATE,,9.7005,907.0,,1.0,93.5,,,,0.016,23.0,3.0,-0.0703,0.0131,0.2913,0.7047,0.9042,2.62865,436.18313,19.25356,  29APR19:14:24:19,
8847,372.0,IRL,37200002.0,07MS,37200,37200.0,IRL0008,3720000,1.0,2.0,313.0,2.0,,,,,,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,199.0,149.0,3.0,27.0,82.0,68.0,90.0,90.0,0.0,0.0,40.0,50.0,33.0,8.0,,,,,5.0,,0.0,,99.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,2.0,20.0,6.0,6.0,5.0,2.0,,1.0,1.0,2.0,PUBLIC,,9.4054,348.0,1.3235,1.0,37.0,,,0.1351,0.0,23.0,1.0,-1.4212,0.6045,0.2408,-1.2356,0.9042,9.48419,429.39497,69.46692,  29APR19:14:24:19,
8848,372.0,IRL,37200003.0,07MS,37200,37200.0,IRL0009,3720000,1.0,2.0,313.0,1.0,,,,,,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,302.0,307.0,,20.0,30.0,104.0,104.0,104.0,104.0,1.0,50.0,60.0,47.0,2.0,47.0,2.0,47.0,2.0,47.0,2.0,2.0,0.0,100.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,3.0,27.0,33.0,6.0,4.0,2.0,,1.0,2.0,2.0,PUBLIC,,12.6875,609.0,1.0,1.0,48.0,1.0,1.0,1.0,0.0417,23.0,2.0,-0.6884,1.0815,-0.2686,0.2266,0.9042,3.52289,345.07595,25.80337,  29APR19:14:24:19,
8849,372.0,IRL,37200004.0,07MS,37200,37200.0,IRL0003,3720000,1.0,2.0,313.0,2.0,,,,,,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,466.0,419.0,4.0,16.0,40.0,166.0,90.0,90.0,0.0,5.0,40.0,40.0,65.0,2.0,65.0,2.0,50.0,2.0,30.0,0.0,0.0,0.0,98.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,372002,2.0,2.0,2.0,2.0,2.0,2.0,12.0,16.0,4.0,5.0,2.0,,1.0,2.0,2.0,PUBLIC,,13.4091,885.0,0.5422,1.0,66.0,1.0,0.7727,0.4545,0.0,23.0,1.0,0.1312,0.21,0.8153,1.1913,0.9042,2.47229,370.89556,18.10829,  29APR19:14:24:19,
8850,372.0,IRL,37200005.0,07MS,37200,37200.0,IRL0003,3720000,1.0,2.0,313.0,3.0,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,559.0,576.0,4.0,20.0,10.0,232.0,120.0,120.0,10.0,0.0,60.0,60.0,82.0,8.0,82.0,8.0,82.0,8.0,15.0,0.0,0.0,0.0,96.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,372002,1.0,2.0,2.0,2.0,1.0,5.0,10.0,80.0,2.0,,2.0,,1.0,2.0,2.0,PUBLIC,,13.1977,1135.0,0.5172,1.0,86.0,1.0,1.0,0.1744,0.0,28.0,2.0,-0.2376,-0.7828,0.1795,0.9355,0.1571,1.87894,343.57635,13.7623,  29APR19:14:24:19,
8851,372.0,IRL,37200006.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,2.0,,,,,,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,614.0,522.0,5.0,17.0,5.0,224.0,150.0,150.0,80.0,0.0,80.0,100.0,72.0,9.0,,8.0,45.0,5.0,12.0,0.0,0.0,0.0,100.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,372002,1.0,2.0,2.0,2.0,2.0,2.0,20.0,20.0,5.0,1.0,2.0,,1.0,1.0,1.0,PRIVATE,,14.8497,1136.0,0.6696,1.0,76.5,0.0523,0.6209,0.1569,0.0,23.0,2.0,-0.2264,0.43,0.4349,0.3498,0.9042,1.94134,407.32775,14.21937,  29APR19:14:24:19,
8852,372.0,IRL,37200007.0,07MS,37200,37200.0,IRL0003,3720000,1.0,2.0,313.0,5.0,,,,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,596.0,538.0,30.0,15.0,50.0,200.0,132.0,90.0,42.0,12.0,50.0,60.0,80.0,10.0,80.0,8.0,,,,,0.0,0.0,100.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,372001,1.0,2.0,2.0,2.0,1.0,3.0,,,2.0,5.0,2.0,,1.0,1.0,2.0,PUBLIC,,13.3412,1134.0,0.66,0.6818,85.0,0.9882,,,0.0,18.0,2.0,-0.1098,-0.1953,0.4781,0.6015,0.9042,1.76151,370.98552,12.90216,  29APR19:14:24:19,
8853,372.0,IRL,37200008.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,5.0,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,399.0,307.0,5.0,15.0,20.0,105.0,55.0,55.0,0.0,0.0,60.0,60.0,60.0,0.0,60.0,0.0,60.0,0.0,13.0,0.0,3.0,0.0,100.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,,20.0,20.0,10.0,,2.0,,1.0,2.0,2.0,PRIVATE,,11.7667,706.0,0.5238,1.0,60.0,1.0,1.0,0.2167,0.05,23.0,2.0,-0.4526,0.43,-0.1348,0.2266,0.9042,3.44076,302.18744,25.20181,  29APR19:14:24:19,
8854,372.0,IRL,37200009.0,07MS,37200,37200.0,IRL0005,3720000,1.0,2.0,313.0,5.0,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,230.0,119.0,22.0,17.0,13.0,63.0,28.0,28.0,25.0,24.0,2.0,33.0,29.0,2.0,29.0,2.0,29.0,2.0,16.0,1.0,1.0,0.0,100.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372001,1.0,2.0,2.0,2.0,2.0,,100.0,60.0,10.0,10.0,1.0,3.0,1.0,1.0,1.0,PRIVATE,,11.6333,349.0,0.4444,1.0,30.0,1.0,1.0,0.55,0.0333,18.0,3.0,0.1,-0.3163,-0.044,0.933,0.9042,8.09573,547.11514,59.29717,  29APR19:14:24:19,
8855,372.0,IRL,37200010.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,950.0,14.0,11.0,17.0,160.0,60.0,60.0,10.0,45.0,45.0,50.0,56.0,7.0,56.0,7.0,40.0,7.0,10.0,0.0,1.0,0.0,55.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,372001,1.0,1.0,1.0,1.0,1.0,,29.0,32.0,25.0,20.0,2.0,,1.0,,,PRIVATE,,15.9664,950.0,0.375,1.0,59.5,1.0,0.7311,0.1681,0.0168,28.0,2.0,-0.6884,-0.7828,0.2913,0.2266,0.9042,2.58057,395.68491,18.90136,  29APR19:14:24:19,
8856,372.0,IRL,37200011.0,07MS,37200,37200.0,IRL0009,3720000,1.0,2.0,313.0,3.0,,,,,,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,526.0,241.0,1.0,20.0,70.0,153.0,120.0,120.0,40.0,0.0,40.0,50.0,78.0,,78.0,,78.0,,14.0,,0.0,,100.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,372002,1.0,2.0,2.0,2.0,2.0,1.0,20.0,20.0,5.0,2.0,2.0,,1.0,1.0,2.0,PUBLIC,,9.8333,767.0,0.7843,1.0,78.0,1.0,1.0,0.1795,0.0,23.0,3.0,1.6996,-1.4551,-0.335,-0.7866,0.9042,3.04478,485.27221,22.30148,  29APR19:14:24:19,
8857,372.0,IRL,37200012.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,3.0,,,,,,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1276.0,2.0,3.0,8.0,199.0,60.0,60.0,0.0,0.0,70.0,70.0,66.0,15.0,66.0,15.0,60.0,15.0,5.0,0.0,2.0,0.0,100.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,372001,2.0,2.0,2.0,2.0,2.0,1.0,15.0,18.0,3.0,,2.0,,1.0,2.0,2.0,PRIVATE,,17.3741,1277.0,0.3015,1.0,73.5,1.0,0.9184,0.068,0.0272,28.0,2.0,1.2478,0.3595,-0.0384,0.2266,0.9042,1.89782,391.3384,13.90055,  29APR19:14:24:19,
8858,372.0,IRL,37200013.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,686.0,18.0,7.0,8.0,123.0,118.0,118.0,48.0,13.0,40.0,58.0,42.0,8.0,42.0,7.0,42.0,8.0,15.0,8.0,1.0,0.0,100.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,1.0,10.0,6.0,3.0,5.0,2.0,,1.0,2.0,2.0,PRIVATE,,14.913,686.0,0.9593,1.0,46.0,0.9891,1.0,0.413,0.0217,23.0,2.0,-0.949,-1.4551,-0.0384,0.2266,0.9042,3.15831,382.15511,23.13301,  29APR19:14:24:19,
8859,372.0,IRL,37200014.0,07MS,37200,37200.0,IRL0006,3720000,1.0,2.0,313.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,567.0,4.0,12.0,2.0,75.0,77.0,77.0,0.0,2.0,40.0,60.0,45.0,5.0,,,,,40.0,,1.0,,100.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,1.0,99.0,39.0,11.0,21.0,1.0,3.0,1.0,2.0,2.0,PRIVATE,,11.9368,567.0,1.0267,1.0,47.5,,,0.8421,0.0211,23.0,1.0,-1.4212,-1.4551,-0.6823,-1.2356,0.9042,3.74525,284.79525,27.43206,  29APR19:14:24:19,
8860,372.0,IRL,37200015.0,07MS,37200,37200.0,IRL0009,3720000,1.0,2.0,313.0,1.0,,,,,,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,332.0,249.0,20.0,10.0,30.0,145.0,60.0,60.0,10.0,5.0,40.0,40.0,45.0,,45.0,,45.0,,10.0,,1.0,,100.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,372001,1.0,2.0,2.0,2.0,2.0,1.0,50.0,100.0,25.0,10.0,1.0,2.0,1.0,1.0,2.0,PUBLIC,,12.9111,581.0,0.4138,1.0,45.0,1.0,1.0,0.2222,0.0222,28.0,2.0,1.1897,0.592,-0.1936,1.6299,0.9042,3.84026,503.72023,28.128,  29APR19:14:24:19,
